-30,193.5
-29,181.461
-28,170.268
-27,159.85
-26,150.146
-25,141.1
-24,132.659
-23,124.779
-22,117.418
-21,110.537
-20,104.101
-19,98.079
-18,92.44
-17,87.159
-16,82.21
-15,77.571
-14,73.219
-13,69.137
-12,65.305
-11,61.707
-10,58.328
-9,55.153
-8,52.169
-7,49.363
-6,46.724
-5,44.241
-4,41.904
-3,39.704
-2,37.633
-1,35.681
0,33.8
1,32.108
2,30.474
3,28.932
4,27.477
5,26.104
6,24.807
7,23.583
8,22.426
9,21.333
10,20.3
11,19.322
12,18.398
13,17.523
14,16.695
15,15.912
16,15.169
17,14.466
18,13.799
19,13.167
20,12.568
21,11.999
22,11.46
23,10.948
24,10.461
25,10
26,9.561
27,9.144
28,8.747
29,8.37
30,8.011
31,7.67
32,7.345
33,7.036
34,6.741
35,6.461
36,6.193
37,5.938
38,5.695
39,5.464
40,5.242
41,5.031
42,4.83
43,4.638
44,4.454
45,4.279
46,4.111
47,3.951
48,3.797
49,3.651
50,3.511
51,3.377
52,3.248
53,3.126
54,3.008
55,2.896
56,2.788
57,2.684
58,2.585
59,2.49
60,2.4
61,2.312
62,2.229
63,2.148
64,2.071
65,1.997
66,1.927
67,1.858
68,1.793
69,1.73
70,1.67
71,1.612
72,1.556
73,1.503
74,1.451
75,1.402
76,1.354
77,1.309
78,1.265
79,1.222
80,1.181
81,1.142
82,1.104
83,1.068
84,1.033
85,1
86,0.967
87,0.936
88,0.906
89,0.877
90,0.849
91,0.822
92,0.796
93,0.771
94,0.747
95,0.723
96,0.701
97,0.679
98,0.658
99,0.638
100,0.618
101,0.6
102,0.582
103,0.564
104,0.548
105,0.531
106,0.516
107,0.5
108,0.486
109,0.472
110,0.458
111,0.445
112,0.432
113,0.419
114,0.407
115,0.396
116,0.385
117,0.374
118,0.364
119,0.353
120,0.344
121,0.334
122,0.325
123,0.316
124,0.308
125,0.3
